UID2,UID,Section
ID,ID,Section
21108,2020240103,F2F_2020
21110,2020020104,F2F_2020
21111,2020030105,F2F_2020
21112,2020120106,F2F_2020
21114,2020120107,F2F_2020
21115,2020210108,F2F_2020
21116,2020160109,F2F_2020
21117,2020120110,F2F_2020
21119,2020150111,F2F_2020
21120,2020160112,F2F_2020
21121,2020040113,F2F_2020
21123,2020230114,F2F_2020
21124,2020130115,F2F_2020
21125,2020040116,F2F_2020
21126,2020020117,F2F_2020
21127,2020100118,F2F_2020
21128,2020070119,F2F_2020
21129,2020240120,F2F_2020
21132,2020100121,F2F_2020
21133,2020060122,F2F_2020
21134,2020070123,F2F_2020
21135,2020160124,F2F_2020
21136,2020170125,F2F_2020
21137,2020060126,F2F_2020
21139,2020050127,F2F_2020
21140,2020190128,F2F_2020
21141,2020190129,F2F_2020
21142,2020200130,F2F_2020
21143,2020200131,F2F_2020
21144,2020210132,F2F_2020
21145,2020040133,F2F_2020
21146,2020230134,F2F_2020
21147,2020200135,F2F_2020
21148,2020020136,F2F_2020
21150,2020010137,F2F_2020
21151,2020210138,F2F_2020
21152,2020160139,F2F_2020
21153,2020110140,F2F_2020
21154,2020170141,F2F_2020
21155,2020190142,F2F_2020
21156,2020070143,F2F_2020
21157,2020230144,F2F_2020
21158,2020080145,F2F_2020
21159,2020210146,F2F_2020
21160,2020200147,F2F_2020
21161,2020250148,F2F_2020
21162,2020130149,F2F_2020
21163,2020030150,F2F_2020
21164,2020190151,F2F_2020
21165,2020050152,F2F_2020
21166,2020070153,F2F_2020
21167,2020040154,F2F_2020
21168,2020070155,F2F_2020
21169,2020230156,F2F_2020
21170,2020220157,F2F_2020
21171,2020170158,F2F_2020
21172,2020070159,F2F_2020
21173,2020250160,F2F_2020
21174,2020210161,F2F_2020
21175,2020180162,F2F_2020
21176,2020230163,F2F_2020
21177,2020040164,F2F_2020
21178,2020240165,F2F_2020
21179,2020180166,F2F_2020
21180,2020250167,F2F_2020
21181,2020180168,F2F_2020
21182,2020120169,F2F_2020
21183,2020250170,F2F_2020
21184,2020100171,F2F_2020
21185,2020100172,F2F_2020
21186,2020110173,F2F_2020
21187,2020210174,F2F_2020
21188,2020070175,F2F_2020
